AssemblyAccession	Taxid	SpeciesTaxid	Organism	AssemblyStatus	RefSeq_category	FtpPath_GenBank	FtpPath_RefSeq	FtpPath_Assembly_rpt
GCF_003860585.1	1241979	1241979	Kaistella carnis (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/585/GCA_003860585.1_ASM386058v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/585/GCF_003860585.1_ASM386058v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/585/GCF_003860585.1_ASM386058v1/GCF_003860585.1_ASM386058v1_assembly_report.txt
GCF_003860565.1	237258	237258	Cloacibacterium normanense (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/565/GCA_003860565.1_ASM386056v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/565/GCF_003860565.1_ASM386056v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/565/GCF_003860565.1_ASM386056v1/GCF_003860565.1_ASM386056v1_assembly_report.txt
GCF_003860545.1	536441	536441	Chryseobacterium taklimakanense (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/545/GCA_003860545.1_ASM386054v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/545/GCF_003860545.1_ASM386054v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/545/GCF_003860545.1_ASM386054v1/GCF_003860545.1_ASM386054v1_assembly_report.txt
GCF_003860525.1	2487072	2487072	Epilithonimonas vandammei (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/525/GCA_003860525.1_ASM386052v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/525/GCF_003860525.1_ASM386052v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/525/GCF_003860525.1_ASM386052v1/GCF_003860525.1_ASM386052v1_assembly_report.txt
GCF_003860505.1	2487074	2487074	Kaistella daneshvariae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/505/GCA_003860505.1_ASM386050v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/505/GCF_003860505.1_ASM386050v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/505/GCF_003860505.1_ASM386050v1/GCF_003860505.1_ASM386050v1_assembly_report.txt
GCF_003860485.1	536441	536441	Chryseobacterium taklimakanense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/485/GCA_003860485.1_ASM386048v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/485/GCF_003860485.1_ASM386048v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/485/GCF_003860485.1_ASM386048v1/GCF_003860485.1_ASM386048v1_assembly_report.txt
GCF_003815995.1	246	246	Chryseobacterium balustinum (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/995/GCA_003815995.1_ASM381599v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/995/GCF_003815995.1_ASM381599v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/995/GCF_003815995.1_ASM381599v1/GCF_003815995.1_ASM381599v1_assembly_report.txt
GCF_003815975.1	1241978	1241978	Chryseobacterium bernardetii (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/975/GCA_003815975.1_ASM381597v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/975/GCF_003815975.1_ASM381597v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/975/GCF_003815975.1_ASM381597v1/GCF_003815975.1_ASM381597v1_assembly_report.txt
GCF_003815955.1	1241978	1241978	Chryseobacterium bernardetii (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/955/GCA_003815955.1_ASM381595v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/955/GCF_003815955.1_ASM381595v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/955/GCF_003815955.1_ASM381595v1/GCF_003815955.1_ASM381595v1_assembly_report.txt
GCF_003815935.1	253	253	Chryseobacterium indologenes (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/935/GCA_003815935.1_ASM381593v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/935/GCF_003815935.1_ASM381593v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/935/GCF_003815935.1_ASM381593v1/GCF_003815935.1_ASM381593v1_assembly_report.txt
GCF_003815915.1	254	254	Chryseobacterium indoltheticum (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/915/GCA_003815915.1_ASM381591v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1/GCF_003815915.1_ASM381591v1_assembly_report.txt
GCF_003815895.1	254	254	Chryseobacterium indoltheticum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/895/GCA_003815895.1_ASM381589v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/895/GCF_003815895.1_ASM381589v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/895/GCF_003815895.1_ASM381589v1/GCF_003815895.1_ASM381589v1_assembly_report.txt
GCF_003815875.1	1241981	1241981	Chryseobacterium lactis (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/875/GCA_003815875.1_ASM381587v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/875/GCF_003815875.1_ASM381587v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/875/GCF_003815875.1_ASM381587v1/GCF_003815875.1_ASM381587v1_assembly_report.txt
GCF_003815855.1	1124835	1124835	Chryseobacterium carnipullorum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/855/GCA_003815855.1_ASM381585v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/855/GCF_003815855.1_ASM381585v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/855/GCF_003815855.1_ASM381585v1/GCF_003815855.1_ASM381585v1_assembly_report.txt
GCF_003815835.1	1493872	1493872	Chryseobacterium shandongense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/835/GCA_003815835.1_ASM381583v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/835/GCF_003815835.1_ASM381583v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/835/GCF_003815835.1_ASM381583v1/GCF_003815835.1_ASM381583v1_assembly_report.txt
GCF_003815775.1	112234	112234	Chryseobacterium joostei (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/775/GCA_003815775.1_ASM381577v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/775/GCF_003815775.1_ASM381577v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/775/GCF_003815775.1_ASM381577v1/GCF_003815775.1_ASM381577v1_assembly_report.txt
GCF_003815755.1	1241981	1241981	Chryseobacterium lactis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/755/GCA_003815755.1_ASM381575v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/755/GCF_003815755.1_ASM381575v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/755/GCF_003815755.1_ASM381575v1/GCF_003815755.1_ASM381575v1_assembly_report.txt
GCF_003815735.1	1241982	1241982	Chryseobacterium nakagawai (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/735/GCA_003815735.1_ASM381573v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/735/GCF_003815735.1_ASM381573v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/735/GCF_003815735.1_ASM381573v1/GCF_003815735.1_ASM381573v1_assembly_report.txt
GCF_003815715.1	2487063	2487063	Chryseobacterium sp. G0162 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/715/GCA_003815715.1_ASM381571v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/715/GCF_003815715.1_ASM381571v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/715/GCF_003815715.1_ASM381571v1/GCF_003815715.1_ASM381571v1_assembly_report.txt
GCF_003815695.1	1124835	1124835	Chryseobacterium carnipullorum (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/695/GCA_003815695.1_ASM381569v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/695/GCF_003815695.1_ASM381569v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/695/GCF_003815695.1_ASM381569v1/GCF_003815695.1_ASM381569v1_assembly_report.txt
GCF_003815675.1	2487064	2487064	Chryseobacterium sp. G0186 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/675/GCA_003815675.1_ASM381567v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/675/GCF_003815675.1_ASM381567v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/675/GCF_003815675.1_ASM381567v1/GCF_003815675.1_ASM381567v1_assembly_report.txt
GCF_003815655.1	2487065	2487065	Chryseobacterium sp. G0201 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/655/GCA_003815655.1_ASM381565v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/655/GCF_003815655.1_ASM381565v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/655/GCF_003815655.1_ASM381565v1/GCF_003815655.1_ASM381565v1_assembly_report.txt
GCF_003815635.1	1493872	1493872	Chryseobacterium shandongense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/635/GCA_003815635.1_ASM381563v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/635/GCF_003815635.1_ASM381563v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/635/GCF_003815635.1_ASM381563v1/GCF_003815635.1_ASM381563v1_assembly_report.txt
GCF_003815615.1	1493872	1493872	Chryseobacterium shandongense (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/615/GCA_003815615.1_ASM381561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/615/GCF_003815615.1_ASM381561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/615/GCF_003815615.1_ASM381561v1/GCF_003815615.1_ASM381561v1_assembly_report.txt
GCF_003812865.1	253	253	Chryseobacterium indologenes (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/865/GCA_003812865.1_ASM381286v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/865/GCF_003812865.1_ASM381286v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/865/GCF_003812865.1_ASM381286v1/GCF_003812865.1_ASM381286v1_assembly_report.txt
GCF_003812705.1	651561	651561	Chryseobacterium arthrosphaerae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/705/GCA_003812705.1_ASM381270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/705/GCF_003812705.1_ASM381270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/705/GCF_003812705.1_ASM381270v1/GCF_003812705.1_ASM381270v1_assembly_report.txt
GCF_003812605.1	253	253	Chryseobacterium indologenes (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/605/GCA_003812605.1_ASM381260v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/605/GCF_003812605.1_ASM381260v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/605/GCF_003812605.1_ASM381260v1/GCF_003812605.1_ASM381260v1_assembly_report.txt
GCF_003795085.1	28188	28188	Capnocytophaga canimorsus (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/795/085/GCA_003795085.1_ASM379508v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/795/085/GCF_003795085.1_ASM379508v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/795/085/GCF_003795085.1_ASM379508v1/GCF_003795085.1_ASM379508v1_assembly_report.txt
GCF_003711225.1	2268026	2268026	Runella sp. SP2 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/225/GCA_003711225.1_ASM371122v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/225/GCF_003711225.1_ASM371122v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/225/GCF_003711225.1_ASM371122v1/GCF_003711225.1_ASM371122v1_assembly_report.txt
GCF_003692615.1	2039166	2039166	Chryseobacterium sp. 6424 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/692/615/GCA_003692615.1_ASM369261v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/692/615/GCF_003692615.1_ASM369261v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/692/615/GCF_003692615.1_ASM369261v1/GCF_003692615.1_ASM369261v1_assembly_report.txt
GCF_900604385.1	2364787	2364787	Alistipes megaguti (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/604/385/GCA_900604385.1_PRJEB28786	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/604/385/GCF_900604385.1_PRJEB28786	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/604/385/GCF_900604385.1_PRJEB28786/GCF_900604385.1_PRJEB28786_assembly_report.txt
GCF_003687485.1	1761453	1761453	Euzebyella marina (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/687/485/GCA_003687485.1_ASM368748v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/687/485/GCF_003687485.1_ASM368748v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/687/485/GCF_003687485.1_ASM368748v1/GCF_003687485.1_ASM368748v1_assembly_report.txt
GCF_003669035.1	2478663	2478663	Chryseobacterium sp. 3008163 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/669/035/GCA_003669035.1_ASM366903v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/669/035/GCF_003669035.1_ASM366903v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/669/035/GCF_003669035.1_ASM366903v1/GCF_003669035.1_ASM366903v1_assembly_report.txt
GCF_003668995.1	2478552	2478552	Flavobacterium sp. 140616W15 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/668/995/GCA_003668995.1_ASM366899v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/995/GCF_003668995.1_ASM366899v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/995/GCF_003668995.1_ASM366899v1/GCF_003668995.1_ASM366899v1_assembly_report.txt
GCF_003576455.2	2305508	2305508	Mucilaginibacter celer (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/455/GCA_003576455.2_ASM357645v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/576/455/GCF_003576455.2_ASM357645v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/576/455/GCF_003576455.2_ASM357645v2/GCF_003576455.2_ASM357645v2_assembly_report.txt
GCF_900564155.1	2201271	2201271	Pedobacter schmidteae (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/564/155/GCA_900564155.1_PRJEB26455	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/564/155/GCF_900564155.1_PRJEB26455	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/564/155/GCF_900564155.1_PRJEB26455/GCF_900564155.1_PRJEB26455_assembly_report.txt
GCF_003609775.1	28132	28132	Prevotella melaninogenica (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/775/GCA_003609775.1_ASM360977v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/775/GCF_003609775.1_ASM360977v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/775/GCF_003609775.1_ASM360977v1/GCF_003609775.1_ASM360977v1_assembly_report.txt
GCF_003600625.1	2341117	2341117	Arachidicoccus soli (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/600/625/GCA_003600625.1_ASM360062v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/600/625/GCF_003600625.1_ASM360062v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/600/625/GCF_003600625.1_ASM360062v1/GCF_003600625.1_ASM360062v1_assembly_report.txt
GCF_003590565.1	459526	459526	Flavobacterium anhuiense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/565/GCA_003590565.1_ASM359056v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/565/GCF_003590565.1_ASM359056v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/565/GCF_003590565.1_ASM359056v1/GCF_003590565.1_ASM359056v1_assembly_report.txt
GCF_003589925.1	2321403	2321403	Chryseolinea soli (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/589/925/GCA_003589925.1_ASM358992v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/589/925/GCF_003589925.1_ASM358992v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/589/925/GCF_003589925.1_ASM358992v1/GCF_003589925.1_ASM358992v1_assembly_report.txt
GCF_003585765.1	323450	323450	Pontibacter actiniarum (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/585/765/GCA_003585765.1_ASM358576v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/585/765/GCF_003585765.1_ASM358576v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/585/765/GCF_003585765.1_ASM358576v1/GCF_003585765.1_ASM358576v1_assembly_report.txt
GCF_003574965.1	2319843	2319843	Hymenobacter oligotrophus (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/574/965/GCA_003574965.1_ASM357496v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/965/GCF_003574965.1_ASM357496v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/965/GCF_003574965.1_ASM357496v1/GCF_003574965.1_ASM357496v1_assembly_report.txt
GCF_003573935.1	1457032	164514	Blattabacterium punctulatus CPU2 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/935/GCA_003573935.1_ASM357393v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/935/GCF_003573935.1_ASM357393v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/935/GCF_003573935.1_ASM357393v1/GCF_003573935.1_ASM357393v1_assembly_report.txt
GCF_003573915.1	1457030	1653831	Blattabacterium cuenoti STAT (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/915/GCA_003573915.1_ASM357391v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/915/GCF_003573915.1_ASM357391v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/915/GCF_003573915.1_ASM357391v1/GCF_003573915.1_ASM357391v1_assembly_report.txt
GCF_003555545.1	2315862	2315862	Paraflavitalea soli (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/555/545/GCA_003555545.1_ASM355554v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/555/545/GCF_003555545.1_ASM355554v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/555/545/GCF_003555545.1_ASM355554v1/GCF_003555545.1_ASM355554v1_assembly_report.txt
GCF_003515045.1	28129	28129	Prevotella denticola (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/045/GCA_003515045.1_ASM351504v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/045/GCF_003515045.1_ASM351504v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/045/GCF_003515045.1_ASM351504v1/GCF_003515045.1_ASM351504v1_assembly_report.txt
GCF_003491425.1	146919	146919	Salinibacter ruber (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/425/GCA_003491425.1_ASM349142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/425/GCF_003491425.1_ASM349142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/425/GCF_003491425.1_ASM349142v1/GCF_003491425.1_ASM349142v1_assembly_report.txt
GCF_003491405.1	146919	146919	Salinibacter ruber (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/405/GCA_003491405.1_ASM349140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/405/GCF_003491405.1_ASM349140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/405/GCF_003491405.1_ASM349140v1/GCF_003491405.1_ASM349140v1_assembly_report.txt
GCF_003491385.1	146919	146919	Salinibacter ruber (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/385/GCA_003491385.1_ASM349138v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/385/GCF_003491385.1_ASM349138v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/385/GCF_003491385.1_ASM349138v1/GCF_003491385.1_ASM349138v1_assembly_report.txt
GCF_003491205.1	146919	146919	Salinibacter ruber (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/205/GCA_003491205.1_ASM349120v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/205/GCF_003491205.1_ASM349120v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/205/GCF_003491205.1_ASM349120v1/GCF_003491205.1_ASM349120v1_assembly_report.txt
GCF_003491185.1	146919	146919	Salinibacter ruber (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/185/GCA_003491185.1_ASM349118v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/185/GCF_003491185.1_ASM349118v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/185/GCF_003491185.1_ASM349118v1/GCF_003491185.1_ASM349118v1_assembly_report.txt
GCF_003443715.1	1714849	1714849	Aquimarina sp. AD10 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/715/GCA_003443715.1_ASM344371v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/715/GCF_003443715.1_ASM344371v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/715/GCF_003443715.1_ASM344371v1/GCF_003443715.1_ASM344371v1_assembly_report.txt
GCF_003443695.1	1714848	1714848	Aquimarina sp. AD1 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/695/GCA_003443695.1_ASM344369v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/695/GCF_003443695.1_ASM344369v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/695/GCF_003443695.1_ASM344369v1/GCF_003443695.1_ASM344369v1_assembly_report.txt
GCF_003443675.1	1714860	1714860	Aquimarina sp. BL5 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/675/GCA_003443675.1_ASM344367v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/675/GCF_003443675.1_ASM344367v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/675/GCF_003443675.1_ASM344367v1/GCF_003443675.1_ASM344367v1_assembly_report.txt
GCF_003443635.1	1871037	1871037	Flavobacteriaceae bacterium (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/635/GCA_003443635.1_ASM344363v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/635/GCF_003443635.1_ASM344363v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/635/GCF_003443635.1_ASM344363v1/GCF_003443635.1_ASM344363v1_assembly_report.txt
GCF_003425985.1	2027857	2027857	Mariniflexile sp. TRM1-10 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/425/985/GCA_003425985.1_ASM342598v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/425/985/GCF_003425985.1_ASM342598v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/425/985/GCF_003425985.1_ASM342598v1/GCF_003425985.1_ASM342598v1_assembly_report.txt
